size,numberQueries,dataDistribution,snappy_read_times,simd_read_times,rle_read_times,uncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,uncompressed_sizes,readPercentage
10000,10000,0,0.034547,0.034553,0.034719,0.034582,0.007639,0.007696,0.007652,0.007605,0,0,0,0,100
10000,10000,1,0.034893,0.034925,0.035626,0.034893,0.006825,0.006853,0.0069,0.006905,0,0,0,0,100
10000,10000,2,0.03461,0.034764,0.03431,0.034364,0.007659,0.007624,0.007653,0.007639,0,0,0,0,100
10000,10000,0,0.02173,0.022408,0.021683,0.02214,0.007652,0.007636,0.007629,0.007599,0,0,0,0,50
10000,10000,1,0.02183,0.022129,0.02183,0.021875,0.006872,0.006857,0.006849,0.006822,0,0,0,0,50
1000,10000,2,0.006157,0.006154,0.006152,0.006149,0.000764,0.000789,0.000766,0.000766,0,0,0,0,50
11250,10000,0,0.038893,0.039052,0.038925,0.038882,0.00864,0.008591,0.00897,0.008616,0,0,0,0,100
11250,10000,0,0.023846,0.024015,0.023865,0.023866,0.008567,0.008601,0.008581,0.008589,0,0,0,0,50
11250,10000,1,0.038986,0.03896,0.039034,0.038976,0.007711,0.007784,0.00768,0.007752,0,0,0,0,100
11250,10000,1,0.024232,0.024861,0.025196,0.02414,0.007694,0.007716,0.007704,0.007796,0,0,0,0,50
11250,10000,2,0.039132,0.039149,0.038892,0.038868,0.008745,0.008696,0.00907,0.008688,0,0,0,0,100
11250,10000,2,0.023522,0.023622,0.023514,0.023533,0.00856,0.008894,0.008577,0.008607,0,0,0,0,50
12656,10000,0,0.044282,0.044269,0.044329,0.044223,0.009616,0.009678,0.009622,0.009668,0,0,0,0,100
12656,10000,0,0.089733,0.176392,0.161528,0.076175,0.009672,0.009657,0.009635,0.00966,131081,131344,131072,131072,50
12656,10000,1,0.043735,0.043909,0.043741,0.043746,0.008677,0.008686,0.008702,0.008817,0,0,0,0,100
