size,numberQueries,dataDistribution,snappy_read_times,simd_read_times,rle_read_times,uncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,uncompressed_sizes,readPercentage
10000,10000,0,0.034912,0.03494,0.034935,0.034923,0.007613,0.007579,0.007939,0.0076,0,0,0,0,100
10000,10000,1,0.034448,0.034429,0.034457,0.034468,0.006855,0.006919,0.006868,0.006778,0,0,0,0,100
10000,10000,2,0.034465,0.034465,0.034458,0.034488,0.007567,0.007612,0.007572,0.007673,0,0,0,0,100
10000,10000,0,0.021844,0.021855,0.0218,0.02181,0.007596,0.007578,0.007579,0.007576,0,0,0,0,50
10000,10000,1,0.022143,0.02215,0.022278,0.022227,0.006822,0.006905,0.006886,0.006781,0,0,0,0,50
1000,10000,2,0.006323,0.006364,0.006328,0.00635,0.000765,0.000757,0.000765,0.000755,0,0,0,0,50
11250,10000,0,0.038904,0.038894,0.038945,0.038895,0.008538,0.008495,0.008526,0.008499,0,0,0,0,100
11250,10000,0,0.024236,0.024773,0.024482,0.024615,0.008514,0.009685,0.008493,0.008522,0,0,0,0,50
11250,10000,1,0.038852,0.038878,0.038884,0.038868,0.007806,0.00768,0.007811,0.007685,0,0,0,0,100
11250,10000,1,0.023988,0.023962,0.024092,0.023956,0.007804,0.00773,0.007838,0.007665,0,0,0,0,50
11250,10000,2,0.039393,0.03936,0.039383,0.039425,0.008634,0.008502,0.008498,0.00856,0,0,0,0,100
11250,10000,2,0.02392,0.023895,0.023912,0.023896,0.008458,0.008492,0.008551,0.008547,0,0,0,0,50
12656,10000,0,0.04375,0.045682,0.043736,0.043705,0.009579,0.009617,0.009562,0.009531,0,0,0,0,100
12656,10000,0,0.02716,0.026241,0.026478,0.026288,0.009572,0.009574,0.009582,0.009599,0,0,0,0,50
12656,10000,1,0.045638,0.046781,0.04364,0.043625,0.008676,0.008635,0.008654,0.008798,0,0,0,0,100
12656,10000,1,0.026624,0.026633,0.026689,0.026908,0.00871,0.008641,0.008643,0.00862,0,0,0,0,50
12656,10000,2,0.043813,0.043589,0.044584,0.043613,0.009596,0.009823,0.009568,0.009591,0,0,0,0,100
12656,10000,2,0.027259,0.026735,0.027031,0.026581,0.009558,0.009612,0.009928,0.00956,0,0,0,0,50
14238,10000,0,0.049085,0.049052,0.050058,0.049096,0.010777,0.010782,0.010708,0.010739,0,0,0,0,100
14238,10000,0,0.028999,0.029125,0.029314,0.029327,0.010769,0.010798,0.010736,0.010727,0,0,0,0,50
14238,10000,1,0.050006,0.049344,0.049607,0.049321,0.009834,0.009716,0.010347,0.009703,0,0,0,0,100
14238,10000,1,0.02963,0.030424,0.029707,0.030106,0.00973,0.009719,0.00971,0.009738,0,0,0,0,50
14238,10000,2,0.049333,0.049426,0.049403,0.049852,0.010777,0.011246,0.010704,0.010753,0,0,0,0,100
14238,10000,2,0.029534,0.029347,0.029372,0.030419,0.010767,0.010768,0.010735,0.01074,0,0,0,0,50
16017,10000,0,0.055179,0.055106,0.05514,0.05631,0.012121,0.012077,0.012117,0.012099,0,0,0,0,100
16017,10000,0,0.032584,0.033432,0.032958,0.032737,0.01207,0.012065,0.012092,0.012041,0,0,0,0,50
16017,10000,1,0.056539,0.055893,0.055825,0.055902,0.011044,0.010915,0.010964,0.011033,0,0,0,0,100
16017,10000,1,0.032394,0.033303,0.033166,0.032482,0.010995,0.010973,0.010955,0.011061,0,0,0,0,50
16017,10000,2,0.056201,0.055111,0.055095,0.055076,0.012048,0.012056,0.01209,0.01203,0,0,0,0,100
16017,10000,2,0.032266,0.03274,0.032694,0.033016,0.012052,0.012046,0.012012,0.012057,0,0,0,0,50
18019,10000,0,0.06211,0.062973,0.06545,0.065122,0.013576,0.013671,0.014073,0.013622,0,0,0,0,100
18019,10000,0,0.036234,0.03686,0.036746,0.036982,0.01361,0.013654,0.013681,0.013678,0,0,0,0,50
18019,10000,1,0.063492,0.064387,0.062783,0.062824,0.012481,0.012356,0.01237,0.012478,0,0,0,0,100
18019,10000,1,0.038353,0.036445,0.037191,0.038286,0.012666,0.012409,0.012458,0.01237,0,0,0,0,50
18019,10000,2,0.062186,0.063592,0.062957,0.062155,0.013634,0.01363,0.013645,0.013666,0,0,0,0,100
18019,10000,2,0.03551,0.036072,0.03627,0.035376,0.01363,0.01363,0.013676,0.013637,0,0,0,0,50
20271,10000,0,0.072742,0.072028,0.070223,0.073486,0.01542,0.015369,0.015393,0.015851,0,0,0,0,100
20271,10000,0,0.039683,0.039622,0.039976,0.039347,0.015383,0.015274,0.015326,0.015342,0,0,0,0,50
20271,10000,1,0.071414,0.070336,0.074496,0.070155,0.013936,0.013962,0.014052,0.013908,0,0,0,0,100
20271,10000,1,0.040654,0.040852,0.039639,0.040398,0.014937,0.013989,0.013874,0.013932,0,0,0,0,50
20271,10000,2,0.071789,0.071529,0.071269,0.071185,0.015323,0.015324,0.015269,0.015382,0,0,0,0,100
20271,10000,2,0.040164,0.039981,0.039818,0.040863,0.015375,0.015362,0.015314,0.01544,0,0,0,0,50
22804,10000,0,0.080466,0.078393,0.079727,0.080513,0.017209,0.017255,0.017293,0.01724,0,0,0,0,100
22804,10000,0,0.044968,0.044636,0.043311,0.045359,0.017311,0.017349,0.01795,0.017175,0,0,0,0,50
22804,10000,1,0.080533,0.079758,0.079993,0.084093,0.01564,0.015802,0.015797,0.015647,0,0,0,0,100
22804,10000,1,0.046511,0.046038,0.044456,0.045102,0.01573,0.015764,0.015733,0.015767,0,0,0,0,50
22804,10000,2,0.078464,0.079145,0.080546,0.082333,0.017301,0.017232,0.017241,0.017705,0,0,0,0,100
22804,10000,2,0.045921,0.046237,0.044844,0.04633,0.01722,0.017236,0.017264,0.017179,0,0,0,0,50
25654,10000,0,0.092067,0.093609,0.090012,0.089325,0.019333,0.019326,0.019385,0.019322,0,0,0,0,100
25654,10000,0,0.0513,0.049522,0.049931,0.050174,0.019369,0.019349,0.019581,0.019393,0,0,0,0,50
25654,10000,1,0.091715,0.09246,0.091467,0.092979,0.018433,0.01762,0.017687,0.017624,0,0,0,0,100
25654,10000,1,0.049679,0.04972,0.050031,0.048751,0.017641,0.017736,0.017821,0.017646,0,0,0,0,50
25654,10000,2,0.091727,0.090452,0.089647,0.093286,0.019334,0.019358,0.019357,0.019642,0,0,0,0,100
25654,10000,2,0.050626,0.051877,0.05048,0.050915,0.01939,0.01949,0.019301,0.019337,0,0,0,0,50
28860,10000,0,0.103489,0.103949,0.100181,0.105041,0.021749,0.02173,0.021789,0.021754,0,0,0,0,100
28860,10000,0,0.057741,0.05642,0.057264,0.057203,0.021713,0.021804,0.021752,0.021729,0,0,0,0,50
28860,10000,1,0.10123,0.104303,0.104799,0.104161,0.019803,0.019846,0.019895,0.019763,0,0,0,0,100
28860,10000,1,0.057071,0.057442,0.056835,0.055601,0.019818,0.01999,0.019806,0.01978,0,0,0,0,50
28860,10000,2,0.102562,0.106964,0.104429,0.10296,0.021796,0.02199,0.021745,0.021755,0,0,0,0,100
28860,10000,2,0.056294,0.055918,0.056224,0.057262,0.021714,0.021689,0.021697,0.021659,0,0,0,0,50
32467,10000,0,0.116073,0.119551,0.116205,0.117283,0.02446,0.024383,0.024454,0.024375,0,0,0,0,100
32467,10000,0,0.061631,0.063684,0.06274,0.062611,0.0244,0.024507,0.024424,0.024478,0,0,0,0,50
32467,10000,1,0.116384,0.116889,0.119528,0.115528,0.022264,0.022433,0.022258,0.022268,0,0,0,0,100
32467,10000,1,0.064016,0.064412,0.063664,0.064764,0.022264,0.022231,0.022234,0.022221,0,0,0,0,50
32467,10000,2,0.117895,0.119519,0.119063,0.116773,0.024421,0.024538,0.025724,0.024407,0,0,0,0,100
32467,10000,2,0.062886,0.062945,0.062679,0.06301,0.024527,0.024447,0.024471,0.024389,0,0,0,0,50
36525,10000,0,0.131658,0.133889,0.132812,0.132457,0.027565,0.027583,0.027581,0.027552,0,0,0,0,100
36525,10000,0,0.071313,0.071337,0.071879,0.070973,0.02756,0.027576,0.027578,0.027581,0,0,0,0,50
36525,10000,1,0.130583,0.133086,0.134131,0.13291,0.025231,0.025413,0.025497,0.025133,0,0,0,0,100
36525,10000,1,0.070277,0.069247,0.070862,0.07005,0.025256,0.025195,0.025167,0.025168,0,0,0,0,50
36525,10000,2,0.130943,0.130553,0.131975,0.131496,0.027632,0.027544,0.027592,0.027546,0,0,0,0,100
36525,10000,2,0.069016,0.070265,0.069595,0.070833,0.027579,0.02764,0.027652,0.027537,0,0,0,0,50
41090,10000,0,0.150417,0.147374,0.151675,0.151131,0.031096,0.03096,0.030961,0.031091,0,0,0,0,100
41090,10000,0,0.080998,0.079349,0.079475,0.080004,0.031005,0.031028,0.031052,0.031034,0,0,0,0,50
41090,10000,1,0.148442,0.151108,0.148573,0.151788,0.028409,0.028302,0.02832,0.028259,0,0,0,0,100
41090,10000,1,0.08091,0.080835,0.079515,0.080049,0.028289,0.028562,0.028379,0.028334,0,0,0,0,50
41090,10000,2,0.146889,0.149933,0.148729,0.149483,0.030937,0.032017,0.031066,0.030992,0,0,0,0,100
41090,10000,2,0.07976,0.078491,0.078149,0.079409,0.031038,0.031032,0.030938,0.030976,0,0,0,0,50
46226,10000,0,0.169511,0.169385,0.170976,0.16918,0.034789,0.034995,0.034798,0.034721,0,0,0,0,100
46226,10000,0,0.090847,0.089337,0.089508,0.090494,0.034915,0.034831,0.034753,0.034783,0,0,0,0,50
46226,10000,1,0.171051,0.172161,0.172774,0.170024,0.031845,0.034257,0.031838,0.031848,0,0,0,0,100
46226,10000,1,0.089655,0.090425,0.090219,0.08991,0.031995,0.031984,0.032015,0.031719,0,0,0,0,50
46226,10000,2,0.169615,0.168107,0.168146,0.167072,0.034839,0.034805,0.034809,0.034801,0,0,0,0,100
46226,10000,2,0.088747,0.089024,0.087985,0.088168,0.03476,0.034846,0.03475,0.034966,0,0,0,0,50
52004,10000,0,0.189705,0.189498,0.190938,0.190401,0.039168,0.039207,0.039095,0.03906,0,0,0,0,100
52004,10000,0,0.102681,0.102627,0.101575,0.102269,0.039185,0.039427,0.039189,0.040631,0,0,0,0,50
52004,10000,1,0.192485,0.191844,0.192322,0.192532,0.035727,0.03611,0.035908,0.035713,0,0,0,0,100
52004,10000,1,0.100707,0.100013,0.099817,0.099948,0.035718,0.036738,0.035758,0.035643,0,0,0,0,50
52004,10000,2,0.1926,0.19413,0.192941,0.192297,0.039037,0.039179,0.039045,0.039075,0,0,0,0,100
52004,10000,2,0.099603,0.099462,0.099401,0.099343,0.039104,0.039161,0.039173,0.03914,0,0,0,0,50
58504,10000,0,0.217227,0.21922,0.216893,0.219452,0.043964,0.044197,0.04398,0.043976,0,0,0,0,100
58504,10000,0,0.113717,0.113284,0.113439,0.113453,0.043965,0.04398,0.044162,0.043966,0,0,0,0,50
58504,10000,1,0.215935,0.215684,0.216745,0.215304,0.040155,0.040161,0.04013,0.040363,0,0,0,0,100
58504,10000,1,0.112073,0.112471,0.112203,0.113122,0.040151,0.040174,0.040554,0.040017,0,0,0,0,50
58504,10000,2,0.217426,0.216944,0.217367,0.216905,0.043987,0.043992,0.043934,0.04398,0,0,0,0,100
58504,10000,2,0.113845,0.114464,0.114639,0.113391,0.044007,0.044006,0.043911,0.043879,0,0,0,0,50
65817,10000,0,1.82741,4.12195,3.72113,1.35373,0.085105,0.085956,0.084313,0.084128,524315,525340,524288,524288,100
65817,10000,0,0.886396,2.00861,1.81018,0.667124,0.085262,0.085922,0.086564,0.084239,524315,525340,524288,524288,50
65817,10000,1,1.81967,4.13378,3.72066,1.37362,0.066713,0.067797,0.066228,0.066136,524317,525340,524288,524288,100
65817,10000,1,0.871129,1.96951,1.78673,0.65043,0.066778,0.067702,0.066544,0.06598,524315,525340,524288,524288,50
65817,10000,2,1.81085,4.11912,3.71231,1.33936,0.084948,0.086097,0.084938,0.084206,524315,525340,524288,524288,100
65817,10000,2,0.873011,1.98284,1.8,0.652906,0.084757,0.087543,0.085532,0.084122,524315,525340,524288,524288,50
74044,10000,0,1.66492,3.74505,3.39737,1.29023,0.091494,0.092165,0.090955,0.090397,524315,525340,524288,524288,100
74044,10000,0,0.818292,1.82425,1.65326,0.619142,0.091126,0.092457,0.09083,0.090413,524315,525340,524288,524288,50
74044,10000,1,1.70903,3.73805,3.36884,1.25045,0.075276,0.073449,0.073169,0.071557,524317,525340,524288,524288,100
74044,10000,1,0.815376,1.80758,1.64119,0.627025,0.072396,0.073586,0.072107,0.071637,524313,525340,524288,524288,50
74044,10000,2,1.66132,3.71956,3.36427,1.25852,0.09121,0.09411,0.091326,0.092022,524315,525340,524288,524288,100
74044,10000,2,0.813885,1.81868,1.64942,0.622567,0.090964,0.09266,0.091271,0.090583,524315,525340,524288,524288,50
83299,10000,0,1.58634,3.36175,3.06261,1.1768,0.098355,0.099841,0.097884,0.097222,524315,525340,524288,524288,100
83299,10000,0,0.779647,1.68064,1.54064,0.612297,0.098516,0.09922,0.097917,0.097186,524315,525340,524288,524288,50
83299,10000,1,1.56258,3.39439,3.08032,1.17669,0.078903,0.079515,0.078691,0.07798,524319,525340,524288,524288,100
83299,10000,1,0.771049,1.68145,1.52232,0.588912,0.079446,0.079539,0.078851,0.078194,524310,525340,524288,524288,50
83299,10000,2,1.56959,3.40588,3.10713,1.1939,0.09865,0.09892,0.098221,0.0979,524315,525340,524288,524288,100
83299,10000,2,0.757458,1.65613,1.51081,0.591162,0.098117,0.098903,0.0978,0.097154,524315,525340,524288,524288,50
93711,10000,0,1.43792,3.07431,2.79855,1.13411,0.106267,0.107787,0.105282,0.10542,524315,525340,524288,524288,100
93711,10000,0,0.726868,1.53539,1.41289,0.570678,0.105991,0.107423,0.105372,0.105015,524315,525340,524288,524288,50
93711,10000,1,1.47075,3.11455,2.84862,1.18896,0.085965,0.088128,0.085798,0.085188,524317,525340,524288,524288,100
93711,10000,1,0.719077,1.52794,1.39747,0.5598,0.085941,0.086542,0.0857,0.084957,524316,525340,524288,524288,50
93711,10000,2,1.43634,3.07175,2.7999,1.14135,0.105959,0.110059,0.105826,0.105224,524315,525340,524288,524288,100
93711,10000,2,0.727793,1.55297,1.41132,0.569074,0.105596,0.106544,0.105384,0.105142,524315,525340,524288,524288,50
105424,10000,0,1.38132,2.87387,2.63151,1.0873,0.114318,0.115509,0.114113,0.114111,524315,525340,524288,524288,100
105424,10000,0,0.681391,1.40211,1.29374,0.558587,0.117243,0.118132,0.114543,0.113552,524315,525340,524288,524288,50
105424,10000,1,1.38746,2.84214,2.61252,1.08423,0.095751,0.094434,0.093721,0.093379,524319,525340,524288,524288,100
105424,10000,1,0.689976,1.40859,1.29018,0.55065,0.094995,0.094596,0.093665,0.092942,524313,525340,524288,524288,50
105424,10000,2,1.37717,2.86112,2.60837,1.08988,0.11464,0.115359,0.114305,0.114347,524315,525340,524288,524288,100
105424,10000,2,0.692517,1.41894,1.30373,0.547341,0.114344,0.115592,0.114109,0.115402,524315,525340,524288,524288,50
118602,10000,0,1.32785,2.65513,2.43154,1.08806,0.124112,0.125153,0.123896,0.123204,524315,525340,524288,524288,100
118602,10000,0,0.657816,1.26882,1.1729,0.523201,0.124264,0.148073,0.124625,0.123636,524315,525340,524288,524288,50
118602,10000,1,1.36841,2.68739,2.47436,1.11685,0.102874,0.1033,0.103664,0.101747,524309,525340,524288,524288,100
118602,10000,1,0.665752,1.31652,1.21795,0.539316,0.102515,0.103415,0.102607,0.101888,524317,525340,524288,524288,50
118602,10000,2,1.3097,2.6278,2.40511,1.06527,0.124615,0.125246,0.123842,0.12348,524315,525340,524288,524288,100
118602,10000,2,0.653475,1.27977,1.18938,0.523638,0.124636,0.125425,0.123671,0.123123,524315,525340,524288,524288,50
133427,10000,0,1.92464,4.36887,3.95736,1.50717,0.169506,0.17082,0.169116,0.167706,1048630,1050680,1048576,1048576,100
133427,10000,0,0.948289,2.16854,1.96484,0.741434,0.170143,0.170964,0.169325,0.16752,1048630,1050680,1048576,1048576,50
133427,10000,1,1.93385,4.35402,3.93953,1.47494,0.133086,0.134112,0.132792,0.13126,1048632,1050680,1048576,1048576,100
133427,10000,1,0.941508,2.1563,1.94184,0.712874,0.133294,0.134304,0.132641,0.131311,1048630,1050680,1048576,1048576,50
133427,10000,2,1.94114,4.39731,3.97125,1.46477,0.174658,0.170926,0.168364,0.167737,1048630,1050680,1048576,1048576,100
133427,10000,2,0.953576,2.18419,1.98588,0.727612,0.169787,0.170655,0.168538,0.167438,1048630,1050680,1048576,1048576,50
150105,10000,0,1.83996,4.05571,3.6772,1.43492,0.181882,0.183583,0.180938,0.180375,1048630,1050680,1048576,1048576,100
150105,10000,0,0.918261,2.00763,1.82529,0.736345,0.182066,0.183164,0.180902,0.180356,1048630,1050680,1048576,1048576,50
150105,10000,1,1.831,4.04225,3.65998,1.45878,0.144072,0.145663,0.143646,0.142766,1048625,1050680,1048576,1048576,100
150105,10000,1,0.900868,1.99155,1.81206,0.714923,0.157075,0.146186,0.143098,0.142884,1048633,1050680,1048576,1048576,50
150105,10000,2,1.8585,4.06757,3.68916,1.43663,0.182068,0.182998,0.180508,0.180207,1048630,1050680,1048576,1048576,100
150105,10000,2,0.923569,2.0088,1.82356,0.743554,0.182258,0.183146,0.181165,0.180511,1048630,1050680,1048576,1048576,50
168868,10000,0,1.79938,3.78259,3.45506,1.44365,0.196132,0.197243,0.19522,0.194051,1048630,1050680,1048576,1048576,100
168868,10000,0,0.880382,1.84603,1.68451,0.696748,0.195633,0.197246,0.194873,0.19891,1048630,1050680,1048576,1048576,50
168868,10000,1,1.79018,3.7332,3.3983,1.40746,0.15774,0.158125,0.156407,0.156668,1048631,1050680,1048576,1048576,100
168868,10000,1,0.901014,1.87929,1.72589,0.730632,0.157228,0.158628,0.157938,0.155161,1048629,1050680,1048576,1048576,50
168868,10000,2,1.7925,3.77471,3.45778,1.46528,0.196451,0.19979,0.195196,0.194057,1048630,1050680,1048576,1048576,100
168868,10000,2,0.88897,1.85326,1.70057,0.708285,0.196579,0.200716,0.194851,0.194174,1048630,1050680,1048576,1048576,50
189976,10000,0,1.77126,3.52825,3.23865,1.46226,0.213621,0.212547,0.210402,0.209065,1048630,1050680,1048576,1048576,100
189976,10000,0,0.873274,1.75027,1.61924,0.717567,0.21164,0.212893,0.210356,0.209675,1048630,1050680,1048576,1048576,50
189976,10000,1,1.73461,3.52361,3.24346,1.41495,0.171622,0.172731,0.170502,0.169904,1048631,1050680,1048576,1048576,100
189976,10000,1,0.871611,1.71137,1.57347,0.703688,0.171423,0.174401,0.170639,0.173284,1048633,1050680,1048576,1048576,50
189976,10000,2,1.72957,3.49853,3.2194,1.41338,0.211284,0.21283,0.210179,0.211259,1048630,1050680,1048576,1048576,100
189976,10000,2,0.857608,1.72146,1.59726,0.709219,0.211904,0.212958,0.210891,0.210437,1048630,1050680,1048576,1048576,50
213723,10000,0,2.07143,4.41412,3.94557,1.61491,0.263481,0.264502,0.301225,0.259161,1572945,1576020,1572864,1572864,100
213723,10000,0,1.02427,2.16966,1.95456,0.816037,0.262554,0.264364,0.26191,0.259434,1572945,1576020,1572864,1572864,50
213723,10000,1,2.05257,4.39644,3.93217,1.60379,0.206756,0.208308,0.207803,0.204317,1572943,1576020,1572864,1572864,100
213723,10000,1,1.01827,2.16091,1.93815,0.815555,0.207663,0.208482,0.205667,0.204615,1572946,1576020,1572864,1572864,50
213723,10000,2,2.06126,4.43434,3.96341,1.60364,0.262222,0.264169,0.260687,0.259796,1572945,1576020,1572864,1572864,100
213723,10000,2,1.00918,2.14984,1.93208,0.797492,0.262499,0.263966,0.260127,0.260106,1572945,1576020,1572864,1572864,50
240438,10000,0,2.04169,4.18459,3.74911,1.65022,0.28241,0.283888,0.279842,0.280231,1572945,1576020,1572864,1572864,100
240438,10000,0,1.00325,2.01698,1.82623,0.813527,0.282471,0.283739,0.280159,0.278799,1572945,1576020,1572864,1572864,50
240438,10000,1,2.04363,4.1191,3.71726,1.63405,0.227543,0.226423,0.222955,0.222594,1572953,1576020,1572864,1572864,100
240438,10000,1,1.01538,2.05652,1.85171,0.834063,0.225308,0.227044,0.223059,0.222419,1572948,1576020,1572864,1572864,50
240438,10000,2,2.05873,4.18096,3.74871,1.6348,0.282212,0.283678,0.279767,0.278711,1572945,1576020,1572864,1572864,100
240438,10000,2,1.04431,2.09714,1.89389,0.845199,0.282424,0.283904,0.280019,0.279151,1572945,1576020,1572864,1572864,50
270492,10000,0,2.22712,4.68137,4.19613,1.76657,0.338886,0.340062,0.335312,0.33306,2097260,2101360,2097152,2097152,100
270492,10000,0,1.12357,2.35794,2.10999,0.888171,0.338057,0.340301,0.334268,0.333532,2097260,2101360,2097152,2097152,50
